NUMADHERENT;NUMDEPARTEMENT;NOM;PRENOM;ADRESSE;CODEPOSTAL;COMMUNE;MAIL;TELFIXE;TELMOBILE;TELPRO;LONGITUDE;LATITUDE
1;37;Blair;Gavin;2 Rue HonorÃ© de Balzac;37261;Tours;iaculis@outlook.com;0555471552;0650045433;0615653008;0.5522242;47.3923346
2;41;Sampson;Wanda;11 Route de Bracieux;41086;Fontaines-en-Sologne;metus.vivamus@hotmail.com;0206137154;0753247245;0608229434;1.55246;47.532414
3;83;Santiago;Anika;98 Rue de Kerguelen;83137;Toulon;nec@hotmail.com;0112686457;0685515811;0602953587;5.931199177280781;43.10419677121262
4;48;Rios;Jescie;35 Impasse de la Rajole;48089;Le Malzieu-Forain;molestie.pharetra.nibh@hotmail.com;0479392866;0625264663;0648269886;3.354447;44.87165
5;73;Welch;Ina;9 Chemin des bernards;73311;Le Verneil;lobortis.tellus@icloud.fr;0436781152;0748752653;0698873570;6.1705369;45.4638943
6;86;Wade;Chantale;12 Les Barbotins;86083;Coulombiers;tincidunt@yahoo.fr;0367811411;0767505192;0650644130;0.179951;46.486162
7;27;Welch;Genevieve;1 Rue Jules Ferry;27602;Saint-SÃ©bastien-de-Morsent;ipsum.dolor@icloud.fr;0284350424;0724831982;0643652177;1.082195;49.005666
8;87;Harvey;Fiona;24 avenue de l'Abattoir;87085;Limoges;mus.proin@icloud.fr;0456888092;0676441616;0618964254;1.25979245;45.81023194
9;37;Cooke;Maile;4 Rue du Lavoir;37256;Theneuil;aliquam.ultrices@google.fr;0487653019;0753201471;0731250676;0.627922;47.112219
10;82;Pena;Halee;10 Chemin du Batut;82187;Varen;ipsum.dolor@outlook.com;0172770470;0773357527;0733552891;1.860714;44.15216
11;92;Castillo;Ann;5 Rue Yves Cariou;92047;Marnes-la-Coquette;ipsum.suspendisse@outlook.fr;0552717884;0625385141;0664522272;2.17405381;48.83138029
12;37;Bailey;Linus;31 Route du Moulin Glabert;37217;Saint-Ã‰tienne-de-Chigny;quisque@outlook.fr;0567853042;0617217154;0734021046;0.5272854;47.3830332
13;35;Rowe;Uriah;24 Rue Jean Marie de la Mennais;35125;La Guerche-de-Bretagne;tincidunt@icloud.fr;0366074630;0651759128;0752360026;-1.222814;47.941823
14;19;Leach;Keaton;31 Allee Du Communal;19289;Yssandon;penatibus.et@hotmail.fr;0142033952;0657278322;0661262523;1.38943352105864;45.2037196624408
